"disease","metabolite","chemical_taxonomy"
"Eosinophilic esophagitis","ethylmalonic acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","gluconic acid","Organic oxygen compounds"
"Eosinophilic esophagitis","succinylacetone","Organic acids and derivatives"
"Eosinophilic esophagitis","galactaric acid","Organic oxygen compounds"
"Eosinophilic esophagitis","levoglucosan","Organoheterocyclic compounds"
"Eosinophilic esophagitis","l-glutamine","Organic acids and derivatives"
"Eosinophilic esophagitis","l-arabinose","Organic oxygen compounds"
"Eosinophilic esophagitis","decanoylcarnitine","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","d-fructose","Organic oxygen compounds"
"Eosinophilic esophagitis","glutaric acid","Organic acids and derivatives"
"Eosinophilic esophagitis","glucaric acid","Organic oxygen compounds"
"Eosinophilic esophagitis","ortho-hydroxyphenylacetic acid","Benzenoids"
"Eosinophilic esophagitis","l-homocystine","Organic acids and derivatives"
"Eosinophilic esophagitis","isovalerylglycine","Organic acids and derivatives"
"Eosinophilic esophagitis","homocitrulline","Organic acids and derivatives"
"Eosinophilic esophagitis","indoxyl sulfate","Organic acids and derivatives"
"Eosinophilic esophagitis","l-kynurenine","Organic oxygen compounds"
"Eosinophilic esophagitis","l-leucine","Organic acids and derivatives"
"Eosinophilic esophagitis","malonic acid","Organic acids and derivatives"
"Eosinophilic esophagitis","l-2-hydroxyglutaric acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","ketoleucine","Organic acids and derivatives"
"Eosinophilic esophagitis","l-methionine","Organic acids and derivatives"
"Eosinophilic esophagitis","1-methylnicotinamide","Organoheterocyclic compounds"
"Eosinophilic esophagitis","hydroxypropionic acid","Organic acids and derivatives"
"Eosinophilic esophagitis","mandelic acid","Benzenoids"
"Eosinophilic esophagitis","4-hydroxybutyric acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","hippuric acid","Benzenoids"
"Eosinophilic esophagitis","kynurenic acid","Organoheterocyclic compounds"
"Eosinophilic esophagitis","isovaleric acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","l-homoserine","Organic acids and derivatives"
"Eosinophilic esophagitis","levulinic acid","Organic acids and derivatives"
"Eosinophilic esophagitis","glycylproline","Organic acids and derivatives"
"Eosinophilic esophagitis","4-hydroxyproline","Organic acids and derivatives"
"Eosinophilic esophagitis","alpha-hydroxyisobutyric acid","Organic acids and derivatives"
"Eosinophilic esophagitis","cysteine-s-sulfate","Organic acids and derivatives"
"Eosinophilic esophagitis","hydroxyisocaproic acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","3-hydroxyisovaleric acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","hydroxyphenyllactic acid","Phenylpropanoids and polyketides"
"Eosinophilic esophagitis","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Eosinophilic esophagitis","mannitol","Organic oxygen compounds"
"Eosinophilic esophagitis","azelaic acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sebacic acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","n-acetyl-l-aspartic acid","Organic acids and derivatives"
"Eosinophilic esophagitis","phenylacetylglycine","Organic acids and derivatives"
"Eosinophilic esophagitis","propionylcarnitine","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","stearic acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pimelic acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","monomethyl glutaric acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","isopropyl alcohol","Organic oxygen compounds"
"Eosinophilic esophagitis","histamine","Organic nitrogen compounds"
"Eosinophilic esophagitis","trigonelline","Alkaloids and derivatives"
"Eosinophilic esophagitis","xanthurenic acid","Organoheterocyclic compounds"
"Eosinophilic esophagitis","l-valine","Organic acids and derivatives"
"Eosinophilic esophagitis","valeric acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","suberic acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","citrulline","Organic acids and derivatives"
"Eosinophilic esophagitis","trimethylamine","Organic nitrogen compounds"
"Eosinophilic esophagitis","trimethylamine n-oxide","Organic nitrogen compounds"
"Eosinophilic esophagitis","l-tryptophan","Organoheterocyclic compounds"
"Eosinophilic esophagitis","s-adenosylhomocysteine","Nucleosides, nucleotides, and analogues"
"Eosinophilic esophagitis","threonic acid","Organic oxygen compounds"
"Eosinophilic esophagitis","trans-ferulic acid","Phenylpropanoids and polyketides"
"Eosinophilic esophagitis","trans-aconitic acid","Organic acids and derivatives"
"Eosinophilic esophagitis","2-aminobenzoic acid","Benzenoids"
"Eosinophilic esophagitis","n-acetylglutamic acid","Organic acids and derivatives"
"Eosinophilic esophagitis","5-aminolevulinic acid","Organic acids and derivatives"
"Eosinophilic esophagitis","adp","Nucleosides, nucleotides, and analogues"
"Eosinophilic esophagitis","sm(d18:1/18:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","glucose 6-phosphate","Organic oxygen compounds"
"Eosinophilic esophagitis","putrescine","Organic nitrogen compounds"
"Eosinophilic esophagitis","phosphocreatine","Organic acids and derivatives"
"Eosinophilic esophagitis","methylguanidine","Organic nitrogen compounds"
"Eosinophilic esophagitis","acetone","Organic oxygen compounds"
"Eosinophilic esophagitis","m-coumaric acid","Phenylpropanoids and polyketides"
"Eosinophilic esophagitis","methylsuccinic acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","caffeine","Organoheterocyclic compounds"
"Eosinophilic esophagitis","1,3-dimethyluric acid","Organoheterocyclic compounds"
"Eosinophilic esophagitis","p-cresol","Benzenoids"
"Eosinophilic esophagitis","acetaminophen","Benzenoids"
"Eosinophilic esophagitis","paraxanthine","Organoheterocyclic compounds"
"Eosinophilic esophagitis","4-aminohippuric acid","Benzenoids"
"Eosinophilic esophagitis","benzoic acid","Benzenoids"
"Eosinophilic esophagitis","epicatechin","Phenylpropanoids and polyketides"
"Eosinophilic esophagitis","isobutyric acid","Organic acids and derivatives"
"Eosinophilic esophagitis","methanol","Organic oxygen compounds"
"Eosinophilic esophagitis","thymol","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","propylene glycol","Organic oxygen compounds"
"Eosinophilic esophagitis","3-chlorotyrosine","Organic acids and derivatives"
"Eosinophilic esophagitis","3-methylxanthine","Organoheterocyclic compounds"
"Eosinophilic esophagitis","salicylic acid","Benzenoids"
"Eosinophilic esophagitis","ibuprofen","Phenylpropanoids and polyketides"
"Eosinophilic esophagitis","2-hydroxy-2-methylbutyric acid","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","methionine sulfoxide","Organic acids and derivatives"
"Eosinophilic esophagitis","butyrylcarnitine","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","cis-5-tetradecenoylcarnitine","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","phthalic acid","Benzenoids"
"Eosinophilic esophagitis","n-phenylacetylphenylalanine","Organic acids and derivatives"
"Eosinophilic esophagitis","sumiki's acid","Organoheterocyclic compounds"
"Eosinophilic esophagitis","4-deoxythreonic acid","Organic oxygen compounds"
"Eosinophilic esophagitis","3-(3-hydroxyphenyl)-3-hydroxypropanoic acid","Phenylpropanoids and polyketides"
"Eosinophilic esophagitis","acetoin","Organic oxygen compounds"
"Eosinophilic esophagitis","n-acetylornithine","Organic acids and derivatives"
"Eosinophilic esophagitis","2-phospho-d-glyceric acid","Organic oxygen compounds"
"Eosinophilic esophagitis","n-methylhydantoin","Organoheterocyclic compounds"
"Eosinophilic esophagitis","3-aminoisobutanoic acid","Organic acids and derivatives"
"Eosinophilic esophagitis","dimethyl sulfone","Organosulfur compounds"
"Eosinophilic esophagitis","n-acetylglutamine","Organic acids and derivatives"
"Eosinophilic esophagitis","3-hydroxyhippuric acid","Benzenoids"
"Eosinophilic esophagitis","phenylacetylglutamine","Organic acids and derivatives"
"Eosinophilic esophagitis","pc(14:0/14:1(9z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(14:0/18:1(11z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(14:0/20:1(11z))","None"
"Eosinophilic esophagitis","pc(14:0/20:2(11z,14z))","None"
"Eosinophilic esophagitis","pc(14:0/20:3(5z,8z,11z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(14:0/20:4(5z,8z,11z,14z))","None"
"Eosinophilic esophagitis","pc(14:0/22:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(14:0/22:1(13z))","None"
"Eosinophilic esophagitis","pc(14:0/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(14:0/22:5(4z,7z,10z,13z,16z))","None"
"Eosinophilic esophagitis","pc(14:0/22:6(4z,7z,10z,13z,16z,19z))","None"
"Eosinophilic esophagitis","pc(14:0/24:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(14:0/24:1(15z))","None"
"Eosinophilic esophagitis","pc(14:1(9z)/16:1(9z))","None"
"Eosinophilic esophagitis","pc(14:1(9z)/22:2(13z,16z))","None"
"Eosinophilic esophagitis","pc(16:0/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(16:0/22:5(4z,7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(16:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(16:1(9z)/22:2(13z,16z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(16:1(9z)/24:1(15z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(18:0/22:4(7z,10z,13z,16z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(18:0/22:5(4z,7z,10z,13z,16z))","None"
"Eosinophilic esophagitis","pc(18:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(18:0/24:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(18:0/24:1(15z))","None"
"Eosinophilic esophagitis","pc(18:1(11z)/22:2(13z,16z))","None"
"Eosinophilic esophagitis","pc(18:1(11z)/24:1(15z))","None"
"Eosinophilic esophagitis","pc(18:3(6z,9z,12z)/24:1(15z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(18:4(6z,9z,12z,15z)/24:1(15z))","None"
"Eosinophilic esophagitis","pc(20:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sm(d18:1/16:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","lysopc(16:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","lysopc(16:1(9z)/0:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","lysopc(18:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","lysopc(18:2(9z,12z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","lysopc(20:4(5z,8z,11z,14z))","None"
"Eosinophilic esophagitis","pc(o-16:0/18:2(9z,12z))","None"
"Eosinophilic esophagitis","p-cresol sulfate","Organic acids and derivatives"
"Eosinophilic esophagitis","sm(d18:1/24:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sm(d18:1/26:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","2-phenylpropionate","Phenylpropanoids and polyketides"
"Eosinophilic esophagitis","sm(d18:1/18:1(9z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sm(d18:1/24:1(15z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","lysopc(17:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","valerylcarnitine","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","3, 5-tetradecadiencarnitine","Organic acids and derivatives"
"Eosinophilic esophagitis","pc(o-14:0/16:0)","None"
"Eosinophilic esophagitis","pc(o-14:0/16:1(9z))","None"
"Eosinophilic esophagitis","pc(o-16:0/16:1(9z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-16:0/18:0)","None"
"Eosinophilic esophagitis","pc(o-16:0/20:0)","None"
"Eosinophilic esophagitis","pc(o-16:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-16:0/22:0)","None"
"Eosinophilic esophagitis","pc(o-16:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-16:1(9z)/16:1(9z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-16:1(9z)/18:0)","None"
"Eosinophilic esophagitis","pc(o-16:1(9z)/18:2(9z,12z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-16:1(9z)/20:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-16:1(9z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-16:1(9z)/22:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-18:0/18:2(9z,12z))","None"
"Eosinophilic esophagitis","pc(o-18:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-18:0/22:6(4z,7z,10z,13z,16z,19z))","None"
"Eosinophilic esophagitis","pc(o-18:1(11z)/18:2(9z,12z))","None"
"Eosinophilic esophagitis","pc(o-18:1(9z)/20:1(11z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-18:1(9z)/20:4(8z,11z,14z,17z))","None"
"Eosinophilic esophagitis","pc(o-18:1(9z)/22:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-18:1(9z)/24:0)","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-18:2(9z,12z)/22:0)","None"
"Eosinophilic esophagitis","pc(o-18:2(9z,12z)/24:0)","None"
"Eosinophilic esophagitis","pc(o-20:0/18:3(9z,12z,15z))","None"
"Eosinophilic esophagitis","pc(o-20:0/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-20:1(11z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-22:0/18:3(9z,12z,15z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-22:0/22:3(10z,13z,16z))","None"
"Eosinophilic esophagitis","pc(o-22:0/22:6(4z,7z,10z,13z,16z,19z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-22:1(13z)/20:4(8z,11z,14z,17z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-22:1(13z)/22:3(10z,13z,16z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-22:2(13z,16z)/22:3(10z,13z,16z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","pc(o-24:0/18:3(6z,9z,12z))","None"
"Eosinophilic esophagitis","sm(d18:1/26:1(17z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sm(d18:0/14:1(9z)(oh))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sm(d18:0/16:1(9z)(oh))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sm(d18:0/16:1(9z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sm(d18:0/20:2(11z,14z))","None"
"Eosinophilic esophagitis","sm(d18:0/22:1(13z)(oh))","None"
"Eosinophilic esophagitis","sm(d18:0/22:2(13z,16z)(oh))","None"
"Eosinophilic esophagitis","sm(d18:0/22:3(10z,13z,16z))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","sm(d18:0/24:1(15z)(oh))","Lipids and lipid-like molecules"
"Eosinophilic esophagitis","4-hydroxyhippuric acid","Benzenoids"
"Eosinophilic esophagitis","(±)-tryptophan","Organoheterocyclic compounds"
"Eosinophilic esophagitis","2-hydroxyglutarate","Organic acids and derivatives"
"Early preeclampsia","1-methylhistidine","Organic acids and derivatives"
"Early preeclampsia","2-hydroxybutyric acid","Organic acids and derivatives"
"Early preeclampsia","acetic acid","Organic acids and derivatives"
"Early preeclampsia","betaine","Organic acids and derivatives"
"Early preeclampsia","acetoacetic acid","Organic acids and derivatives"
"Early preeclampsia","l-carnitine","Organic nitrogen compounds"
"Early preeclampsia","creatine","Organic acids and derivatives"
"Early preeclampsia","dimethylamine","Organic nitrogen compounds"
"Early preeclampsia","citric acid","Organic acids and derivatives"
"Early preeclampsia","choline","Organic nitrogen compounds"
"Early preeclampsia","ethanol","Organic oxygen compounds"
"Early preeclampsia","d-glucose","Organic oxygen compounds"
"Early preeclampsia","glycine","Organic acids and derivatives"
"Early preeclampsia","glycerol","Organic oxygen compounds"
"Early preeclampsia","formic acid","Organic acids and derivatives"
"Early preeclampsia","l-tyrosine","Organic acids and derivatives"
"Early preeclampsia","l-phenylalanine","Organic acids and derivatives"
"Early preeclampsia","l-alanine","Organic acids and derivatives"
"Early preeclampsia","l-proline","Organic acids and derivatives"
"Early preeclampsia","l-threonine","Organic acids and derivatives"
"Early preeclampsia","l-asparagine","Organic acids and derivatives"
"Early preeclampsia","l-isoleucine","Organic acids and derivatives"
"Early preeclampsia","l-serine","Organic acids and derivatives"
"Early preeclampsia","l-lactic acid","Organic acids and derivatives"
"Early preeclampsia","ornithine","Organic acids and derivatives"
"Early preeclampsia","pyruvic acid","Organic acids and derivatives"
"Early preeclampsia","succinic acid","Organic acids and derivatives"
"Early preeclampsia","3-hydroxybutyric acid","Organic acids and derivatives"
"Early preeclampsia","3-methylhistidine","Organic acids and derivatives"
"Early preeclampsia","l-arginine","Organic acids and derivatives"
"Early preeclampsia","creatinine","Organic acids and derivatives"
"Early preeclampsia","l-glutamine","Organic acids and derivatives"
"Early preeclampsia","l-leucine","Organic acids and derivatives"
"Early preeclampsia","malonic acid","Organic acids and derivatives"
"Early preeclampsia","l-methionine","Organic acids and derivatives"
"Early preeclampsia","3-hydroxyisovaleric acid","Lipids and lipid-like molecules"
"Early preeclampsia","isopropyl alcohol","Organic oxygen compounds"
"Early preeclampsia","l-valine","Organic acids and derivatives"
"Early preeclampsia","trimethylamine","Organic nitrogen compounds"
"Early preeclampsia","acetone","Organic oxygen compounds"
"Early preeclampsia","isobutyric acid","Organic acids and derivatives"
"Early preeclampsia","propylene glycol","Organic oxygen compounds"
"Late-onset preeclampsia","1-methylhistidine","Organic acids and derivatives"
"Late-onset preeclampsia","2-hydroxybutyric acid","Organic acids and derivatives"
"Late-onset preeclampsia","acetic acid","Organic acids and derivatives"
"Late-onset preeclampsia","betaine","Organic acids and derivatives"
"Late-onset preeclampsia","acetoacetic acid","Organic acids and derivatives"
"Late-onset preeclampsia","l-carnitine","Organic nitrogen compounds"
"Late-onset preeclampsia","creatine","Organic acids and derivatives"
"Late-onset preeclampsia","dimethylamine","Organic nitrogen compounds"
"Late-onset preeclampsia","citric acid","Organic acids and derivatives"
"Late-onset preeclampsia","ethanol","Organic oxygen compounds"
"Late-onset preeclampsia","d-glucose","Organic oxygen compounds"
"Late-onset preeclampsia","glycine","Organic acids and derivatives"
"Late-onset preeclampsia","glycerol","Organic oxygen compounds"
"Late-onset preeclampsia","formic acid","Organic acids and derivatives"
"Late-onset preeclampsia","l-tyrosine","Organic acids and derivatives"
"Late-onset preeclampsia","l-phenylalanine","Organic acids and derivatives"
"Late-onset preeclampsia","l-alanine","Organic acids and derivatives"
"Late-onset preeclampsia","l-proline","Organic acids and derivatives"
"Late-onset preeclampsia","l-threonine","Organic acids and derivatives"
"Late-onset preeclampsia","l-asparagine","Organic acids and derivatives"
"Late-onset preeclampsia","l-serine","Organic acids and derivatives"
"Late-onset preeclampsia","l-lactic acid","Organic acids and derivatives"
"Late-onset preeclampsia","ornithine","Organic acids and derivatives"
"Late-onset preeclampsia","pyruvic acid","Organic acids and derivatives"
"Late-onset preeclampsia","3-hydroxybutyric acid","Organic acids and derivatives"
"Late-onset preeclampsia","l-arginine","Organic acids and derivatives"
"Late-onset preeclampsia","creatinine","Organic acids and derivatives"
"Late-onset preeclampsia","l-glutamine","Organic acids and derivatives"
"Late-onset preeclampsia","l-leucine","Organic acids and derivatives"
"Late-onset preeclampsia","l-methionine","Organic acids and derivatives"
"Late-onset preeclampsia","3-hydroxyisovaleric acid","Lipids and lipid-like molecules"
"Late-onset preeclampsia","isopropyl alcohol","Organic oxygen compounds"
"Late-onset preeclampsia","l-valine","Organic acids and derivatives"
"Late-onset preeclampsia","trimethylamine","Organic nitrogen compounds"
"Late-onset preeclampsia","acetone","Organic oxygen compounds"
"Late-onset preeclampsia","propylene glycol","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","1,3-diaminopropane","Organic nitrogen compounds"
"Perillyl alcohol administration for cancer treatment","p-hydroxyphenylacetic acid","Benzenoids"
"Perillyl alcohol administration for cancer treatment","acetic acid","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","betaine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","beta-alanine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-carnitine","Organic nitrogen compounds"
"Perillyl alcohol administration for cancer treatment","pipecolic acid","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","choline","Organic nitrogen compounds"
"Perillyl alcohol administration for cancer treatment","gamma-aminobutyric acid","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","homovanillic acid","Benzenoids"
"Perillyl alcohol administration for cancer treatment","glycine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-glutamic acid","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","ethanolamine","Organic nitrogen compounds"
"Perillyl alcohol administration for cancer treatment","hypoxanthine","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","l-tyrosine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-phenylalanine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-alanine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-proline","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-threonine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-isoleucine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-histidine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-lysine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-serine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","l-aspartic acid","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","ornithine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","palmitic acid","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","phenol","Benzenoids"
"Perillyl alcohol administration for cancer treatment","taurine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","urea","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","butanone","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","caprylic acid","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","capric acid","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","caproic acid","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","l-glutamine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","d-alpha-aminobutyric acid","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","linoleic acid","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","l-leucine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","indole","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","3-hexanone","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","stearic acid","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","l-valine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","ribothymidine","Nucleosides, nucleotides, and analogues"
"Perillyl alcohol administration for cancer treatment","citrulline","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","trimethylamine","Organic nitrogen compounds"
"Perillyl alcohol administration for cancer treatment","l-tryptophan","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","octanol","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","n1-acetylspermidine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","guaiacol","Benzenoids"
"Perillyl alcohol administration for cancer treatment","putrescine","Organic nitrogen compounds"
"Perillyl alcohol administration for cancer treatment","1-methylguanosine","Nucleosides, nucleotides, and analogues"
"Perillyl alcohol administration for cancer treatment","acetone","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","benzoic acid","Benzenoids"
"Perillyl alcohol administration for cancer treatment","n8-acetylspermidine","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","cadaverine","Organic nitrogen compounds"
"Perillyl alcohol administration for cancer treatment","methylimidazoleacetic acid","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","methyl isobutyl ketone","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","methanethiol","Organosulfur compounds"
"Perillyl alcohol administration for cancer treatment","8-hydroxy-deoxyguanosine","Nucleosides, nucleotides, and analogues"
"Perillyl alcohol administration for cancer treatment","menthol","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","d-limonene","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","2-heptanone","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","(+)-(s)-carvone","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","perillic acid","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","4-heptanone","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","enterodiol","Lignans, neolignans and related compounds"
"Perillyl alcohol administration for cancer treatment","p-cymene","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","gamma-terpinene","Hydrocarbons"
"Perillyl alcohol administration for cancer treatment","dimethyldisulfide","Organosulfur compounds"
"Perillyl alcohol administration for cancer treatment","hexanal","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","enterolactone","Lignans, neolignans and related compounds"
"Perillyl alcohol administration for cancer treatment","iso-valeraldehyde","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","decanal","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","1,2,4-trimethylbenzene","Benzenoids"
"Perillyl alcohol administration for cancer treatment","2-furanmethanol","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","2-methoxy-4-vinylphenol","Benzenoids"
"Perillyl alcohol administration for cancer treatment","2-methylfuran","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","dimethyl trisulfide","Organosulfur compounds"
"Perillyl alcohol administration for cancer treatment","furan","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","beta-damascenone","Organic oxygen compounds"
"Perillyl alcohol administration for cancer treatment","1,3-diisopropylbenzene","Benzenoids"
"Perillyl alcohol administration for cancer treatment","ethyl acetate","Organic acids and derivatives"
"Perillyl alcohol administration for cancer treatment","2-furancarboxaldehyde","Organooxygen compounds"
"Perillyl alcohol administration for cancer treatment","2,5-dimethylfuran","Organoheterocyclic compounds"
"Perillyl alcohol administration for cancer treatment","(s)-2-methylbutanoic acid","Lipids and lipid-like molecules"
"Perillyl alcohol administration for cancer treatment","anisole","Benzenoids"
"Perillyl alcohol administration for cancer treatment","toluene","Benzenoids"
"Perillyl alcohol administration for cancer treatment","piperidine","Organoheterocyclic compounds"
